day,day_label,week,week_label,month,month_label,quarter,quarter_label,fiscalhalf,fiscalhalf_label,fiscalyear,fiscalyear_label,dayofweek,dayofweek_label,dayofseason,dayofseason_label,weekofyear,weekofyear_label,weakofseason,weakofseason_label
20150405,4/5/2015,W14_2015,4/10/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,SUN,Sunday,DOS02,DOS 02,WY15,Week 15,WS01,WOS 01
20150406,4/6/2015,W14_2015,4/10/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,MON,Monday,DOS03,DOS 03,WY15,Week 15,WS01,WOS 01
20150407,4/7/2015,W14_2015,4/10/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,TUE,Tuesday,DOS04,DOS 04,WY15,Week 15,WS01,WOS 01
20150408,4/8/2015,W14_2015,4/10/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,WED,Wednesday,DOS05,DOS 05,WY15,Week 15,WS01,WOS 01
20150409,4/9/2015,W14_2015,4/10/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,THR,Thursday,DOS06,DOS 06,WY15,Week 15,WS01,WOS 01
20150410,4/10/2015,W14_2015,4/10/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,FRI,Friday,DOS07,DOS 07,WY15,Week 15,WS01,WOS 01
20150411,4/11/2015,W15_2015,4/17/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,SAT,Saturday,DOS08,DOS 08,WY16,Week 16,WS02,WOS 02
20150412,4/12/2015,W15_2015,4/17/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,SUN,Sunday,DOS09,DOS 09,WY16,Week 16,WS02,WOS 02
20150413,4/13/2015,W15_2015,4/17/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,MON,Monday,DOS10,DOS 10,WY16,Week 16,WS02,WOS 02
20150414,4/14/2015,W15_2015,4/17/2015,APR_2015,April FY 2015,Q2_2015,Quarter 2 FY 2015,S2_2015,Season 2 FY 2015,A2015,FY2015,TUE,Tuesday,DOS11,DOS 11,WY16,Week 16,WS02,WOS 02
